iteracion,tiempo,promedio,mejor,peor
0,0.0023517608642578125,8899.1483,7337.187,10539.595999999998
1,0.0026743412017822266,8444.765949999999,6786.687000000001,9892.562000000002
2,0.002946138381958008,8014.952980198019,6670.172,9558.345000000001
3,0.006339550018310547,7713.6429306930695,6471.229,9878.235000000002
4,0.00556492805480957,7527.404456310679,6471.229,9340.661
5,0.006999015808105469,7346.895708737863,5787.851,10206.882000000001
6,0.00576472282409668,7159.760567307691,5787.851,9250.095
7,0.01344752311706543,7037.3776568627445,5787.851,9223.221999999998
8,0.02660202980041504,6802.503596153846,5698.761000000001,8688.26
9,0.04529547691345215,6733.604301886792,5698.761000000001,10098.303
10,0.0753931999206543,6615.467735849056,5698.761000000001,8414.812000000002
11,0.06599760055541992,6471.341056074766,5657.251,8391.190999999999
12,0.030601024627685547,6248.719682242991,5535.848000000001,8205.334000000003
13,0.022490739822387695,6159.402528846154,5535.848000000001,8508.808
14,0.09176874160766602,6119.801336538462,5535.848000000001,9391.544000000002
15,0.2412424087524414,6044.3028,5535.848000000001,8317.586999999998
16,0.32113003730773926,6135.88319047619,5424.346000000001,9015.798999999999
17,0.2674882411956787,6005.942542857143,5424.346000000001,9201.161
18,0.33388400077819824,6005.824428571429,5424.346000000001,9773.694000000001
19,0.21341419219970703,5946.894377358491,5424.346000000001,8691.037000000002
20,0.43692970275878906,5875.456869158878,5424.346000000001,9394.620000000003
21,1.0485219955444336,5940.915287037037,5424.346000000001,8985.445000000002
22,1.652024507522583,5834.1563703703705,5424.346000000001,8088.0960000000005
23,1.5827090740203857,5907.774065420562,5424.346000000001,8271.055
24,0.41051149368286133,5877.991654205608,5424.346000000001,8002.994
25,0.30541563034057617,5947.484305555556,5424.346000000001,9281.957999999999
26,0.4588027000427246,5903.114137614679,5424.346000000001,9120.344000000003
27,0.2057027816772461,5900.9622568807345,5248.36,8596.082
28,0.2023768424987793,5820.1181682243,5087.820000000001,9226.502000000002
29,0.23186087608337402,5837.633009615384,5087.820000000001,8779.971000000001
30,0.14764809608459473,5793.051640776699,5087.820000000001,8855.173
31,0.061365365982055664,5585.047594339623,5087.820000000001,7986.002000000001
32,0.24068045616149902,5546.58814953271,5087.820000000001,8127.747
33,0.10240626335144043,5583.377598130842,5087.820000000001,8121.737999999998
34,0.09561276435852051,5587.672879629629,5087.820000000001,8629.801000000001
35,0.12149596214294434,5524.066129629629,5087.820000000001,8281.892000000002
36,0.08338761329650879,5493.96812037037,5087.820000000001,7981.261999999999
37,0.05434751510620117,5578.0713796296295,5087.820000000001,8216.838
38,0.05011105537414551,5551.663779816513,5087.820000000001,7597.123
39,0.13638067245483398,5469.838834862385,5087.820000000001,7179.251999999999
40,0.16213035583496094,5530.268798165138,5087.820000000001,8072.311999999999
41,0.12089920043945312,5588.318376146789,5087.820000000001,9147.023000000001
42,0.06645417213439941,5526.362743119266,5087.820000000001,8175.5729999999985
43,0.06387019157409668,5609.5946238532115,5087.820000000001,8212.91
44,0.06447005271911621,5520.929541284403,5087.820000000001,7791.9929999999995
45,0.181443452835083,5583.560532110092,5087.820000000001,9061.627000000004
46,0.10477232933044434,5577.486256880734,5087.820000000001,9216.496999999998
47,0.07644796371459961,5642.502137614679,5087.820000000001,8550.243999999999
48,0.08089137077331543,5610.509394495412,5087.820000000001,8445.106
49,0.17700862884521484,5577.055064220183,5087.820000000001,8409.143
50,0.07885622978210449,5600.203880733945,5087.820000000001,8104.443999999999
51,0.06299376487731934,5440.639366972477,5087.820000000001,7385.833
52,0.14331340789794922,5555.405256880734,5087.820000000001,8767.207000000002
53,0.17297625541687012,5491.8639357798165,5087.820000000001,7872.7919999999995
54,0.1567385196685791,5457.873247706422,5087.820000000001,7147.325000000001
55,0.38974833488464355,5515.336302752294,5087.820000000001,8423.547
56,0.38242411613464355,5554.835825688073,5087.820000000001,8147.9940000000015
57,0.1213691234588623,5508.357064220184,5087.820000000001,7711.428000000001
58,0.2768580913543701,5652.085678899083,5087.820000000001,8530.082
59,0.2606842517852783,5575.82847706422,5087.820000000001,8249.412
60,0.1511390209197998,5450.270724770642,5087.820000000001,7264.486
61,0.21842312812805176,5474.575688073394,5087.820000000001,7065.621000000002
62,0.16326642036437988,5510.092550458716,5087.820000000001,7785.364
63,0.14138317108154297,5545.985376146788,5087.820000000001,8194.172
64,0.3978996276855469,5518.5922844036695,5087.820000000001,8508.25
65,0.18788504600524902,5508.479064220183,5087.820000000001,7418.728
66,0.24532842636108398,5448.69452293578,5087.820000000001,7422.765
67,0.08510828018188477,5568.922137614679,5087.820000000001,8275.569
68,0.17761802673339844,5540.212587155964,5087.820000000001,8353.376999999999
69,0.11543631553649902,5547.220211009175,5087.820000000001,8836.911999999998
70,0.07390642166137695,5582.508623853211,5087.820000000001,8192.155000000002
71,0.06939911842346191,5435.560935779817,5087.820000000001,8058.4710000000005
72,0.2606685161590576,5509.223220183486,5087.820000000001,8695.921999999999
73,0.05023336410522461,5426.396688073395,5068.631,7506.17
74,0.04769110679626465,5478.983907407407,5068.631,8555.890000000001
75,0.07882833480834961,5424.525074074074,4915.763999999999,8473.543999999998
76,0.2759866714477539,5529.374216981132,4915.763999999999,8117.022999999999
77,0.12906193733215332,5470.676075471698,4915.763999999999,8437.503
78,0.2008686065673828,5449.641261682243,4915.763999999999,8436.271999999999
79,0.1784839630126953,5431.36176635514,4915.763999999999,8647.675999999998
80,0.1543130874633789,5423.89285046729,4915.763999999999,7994.004
81,0.1950533390045166,5468.362448598131,4915.763999999999,7195.9000000000015
82,0.08213257789611816,5496.711635514019,4915.763999999999,8396.664
83,0.10641717910766602,5537.249814814814,4915.763999999999,9986.789999999999
84,0.05208587646484375,5480.499564814814,4915.763999999999,8214.013
85,0.048021554946899414,5426.829787037037,4915.763999999999,7652.211999999998
86,0.08764958381652832,5549.107574074074,4915.763999999999,7918.583999999999
87,0.09952974319458008,5519.302388888889,4915.763999999999,8278.578000000001
88,0.17952275276184082,5447.959111111111,4915.763999999999,7731.133
89,0.18868207931518555,5469.814194444445,4915.763999999999,8096.868999999999
