iteracion,tiempo,promedio,mejor,peor
0,0.0036263465881347656,8946.739810000001,7229.8420000000015,10582.319
1,0.006360530853271484,8524.20759,7084.871,10224.108999999999
2,0.0063152313232421875,8193.17352,6137.397999999999,10059.666
3,0.007871627807617188,7812.413809999999,6137.397999999999,10246.833999999999
4,0.006203889846801758,7954.85725,6137.397999999999,10084.394000000002
5,0.005545616149902344,7566.30776,6137.397999999999,9898.923999999999
6,0.005564212799072266,7569.715039999999,6137.397999999999,10174.221
7,0.0071871280670166016,7320.50567,6137.395,10460.78
8,0.005671977996826172,7320.880719999999,6102.719999999998,10289.105000000003
9,0.009400606155395508,7363.352629999999,5435.919999999997,10965.034
10,0.012219429016113281,7444.879499999999,5435.919999999997,9823.869000000002
11,0.009420156478881836,7112.49781,5435.919999999997,10234.811999999993
12,0.00900888442993164,7327.50195,5435.916999999998,11311.732999999998
13,0.00930929183959961,6826.66767,5435.916999999998,10268.237000000001
14,0.008475542068481445,7149.059539999999,5435.916999999998,10817.803000000004
15,0.00593113899230957,6722.604999999999,5363.747999999998,10173.54
16,0.008683443069458008,6738.537919999999,5363.747999999998,10134.928
17,0.005626201629638672,7248.431259999999,5363.747999999998,10470.851000000002
18,0.008224725723266602,6889.769869999998,5363.747999999998,10135.260000000002
19,0.005526542663574219,6491.257459999998,5343.243999999999,10245.388
20,0.012544870376586914,6539.160459999998,5343.243999999999,9715.777
21,0.013450384140014648,6612.515139999999,5343.243999999999,9869.659
22,0.01495814323425293,6292.629149999998,5343.243999999999,9861.685
23,0.012594938278198242,7108.427479999999,5302.763999999998,9722.739999999998
24,0.007524967193603516,6608.620549999998,5143.1669999999995,10034.831
25,0.009759902954101562,6422.864409999998,4990.498999999999,9735.389999999998
26,0.00921630859375,6735.232069999998,4990.498999999999,9619.597999999996
27,0.00919961929321289,6806.9679,4990.498999999999,10779.091999999999
28,0.005869865417480469,6803.611839999999,4990.498999999999,10426.949999999999
29,0.008852243423461914,6474.5352299999995,4817.724999999999,10172.264999999998
30,0.010921001434326172,6303.809029999999,4450.375,9184.472999999998
31,0.008708953857421875,6451.668909999999,4437.415999999999,10206.946
32,0.007194042205810547,5990.757469999999,4338.886999999999,11151.229000000001
33,0.01109457015991211,5716.009849999999,4338.886999999999,10450.460000000001
34,0.013738393783569336,5864.982009999999,4338.886999999999,11164.528999999999
35,0.012447595596313477,5542.36715,4290.632999999999,8748.392000000002
36,0.06987762451171875,5654.223139999999,4290.602999999999,9878.269000000002
37,0.014346837997436523,6152.324459999999,4290.602999999999,9465.379
38,0.008404970169067383,5789.312209999999,4288.561999999999,9513.210000000001
39,0.011707067489624023,6046.928389999999,4246.062999999999,10191.123999999998
40,0.013740777969360352,5833.685319999999,4246.062999999999,10691.950000000003
41,0.01205897331237793,5609.320609999999,4246.062999999999,10407.017
42,0.013935327529907227,5407.200709999999,4246.062999999999,10526.874
43,0.02403092384338379,5410.7060999999985,4246.062999999999,10133.158000000003
