iteracion,tiempo,promedio,mejor,peor
0,0.0023682117462158203,8614.84859,7006.162,10595.961
1,0.0025081634521484375,8145.555160000001,6737.097999999998,9819.676000000003
2,0.003955364227294922,7770.322099999999,6164.95,9804.535999999998
3,0.0030319690704345703,7488.877689999999,6164.95,9919.213000000003
4,0.005518913269042969,7070.101893203883,5778.394,8766.533999999998
5,0.018573999404907227,6766.372227722772,5685.813999999999,8717.648
6,0.09474754333496094,6457.3560097087375,5685.813999999999,8822.229999999998
7,0.36555910110473633,6327.769285714285,5506.762999999998,8854.548999999999
8,0.12628841400146484,6207.0569428571425,5506.762999999998,9028.367
9,0.17082548141479492,6153.944432692308,5327.464999999999,8811.508000000002
10,0.6335690021514893,5976.792903846154,5252.173999999999,8898.871000000001
11,0.23329424858093262,5859.150096153846,5089.622999999999,8188.255000000001
12,0.36771154403686523,5736.17867961165,5000.976999999999,7468.451999999999
13,0.6256699562072754,5744.734582524272,5000.976999999999,7167.969000000001
14,0.37802743911743164,5780.635745283019,5000.976999999999,8896.830000000002
15,0.7498321533203125,5763.0223962264145,5000.976999999999,8310.452
16,0.3466184139251709,5625.875738317757,5000.976999999999,7272.946000000002
17,8.42957329750061,5705.6054859813075,5000.976999999999,8509.503
18,0.2348029613494873,5721.622814814815,5000.976999999999,9147.816999999997
19,0.10670804977416992,5645.616731481481,5000.976999999999,9460.641
20,0.15396595001220703,5583.319407407406,5000.976999999999,7962.951999999998
21,0.16102290153503418,5491.664037383177,5000.976999999999,7845.727
22,0.45689988136291504,5676.248935185185,5000.976999999999,8433.997000000001
23,0.12168550491333008,5605.416666666665,5000.976999999999,7702.687999999999
24,0.0866849422454834,5640.436407407407,5000.976999999999,8292.909
25,0.4389512538909912,5660.133091743119,5000.976999999999,9025.764000000003
26,0.16772031784057617,5659.982825688073,5000.976999999999,8623.380000000001
27,0.3105301856994629,5606.301137614678,5000.976999999999,7842.4209999999985
28,0.21621108055114746,5673.167788990826,5000.976999999999,8014.7159999999985
29,0.1993858814239502,5735.122871559633,5000.976999999999,8875.306
30,0.10662484169006348,5621.481935779816,5000.976999999999,8769.203000000001
31,0.09488964080810547,5590.86666972477,5000.976999999999,7537.437000000001
32,0.0734415054321289,5624.503678899082,5000.976999999999,8303.814
33,0.06567835807800293,5674.466119266054,5000.976999999999,8297.558
34,0.053610801696777344,5762.648339449541,5000.976999999999,8965.544000000002
35,0.04511618614196777,5746.631587155964,5000.976999999999,8614.87
36,0.04765748977661133,5725.6449357798165,5000.976999999999,8452.769000000002
37,0.09129476547241211,5695.445275229357,5000.976999999999,8336.966
38,0.05020904541015625,5721.481944954127,5000.976999999999,8182.244999999999
39,0.06777334213256836,5645.3355871559625,5000.976999999999,8168.986999999998
