iteracion,tiempo,promedio,mejor,peor
0,0.0077402591705322266,9057.69085,7900.439999999999,10586.7
1,0.007771730422973633,8728.47917,7457.624000000001,10234.999000000002
2,0.007241487503051758,8548.96804,7033.321000000003,10037.039999999999
3,0.005465984344482422,8401.25088,6819.931,9924.370999999996
4,0.005812883377075195,8026.346,6819.931,10825.931
5,0.007483482360839844,7812.38687,6665.814000000001,10264.873000000001
6,0.008404731750488281,7416.602389999999,6442.853,10236.713
7,0.007691621780395508,7626.99036,6365.4580000000005,10344.589
8,0.009107351303100586,7986.17834,6103.866000000001,11379.450999999997
9,0.008147001266479492,7679.07484,6103.866000000001,10914.823000000002
10,0.006493330001831055,7085.623350000001,5982.496000000001,10033.725999999999
11,0.008553504943847656,7746.89279,5982.496000000001,9750.036
12,0.00815892219543457,7229.18326,5924.9180000000015,10926.626
13,0.006923675537109375,7266.9178600000005,5722.667,10230.469
14,0.0049152374267578125,7023.19336,5608.537,10284.542999999996
15,0.006746530532836914,6943.67913,5608.537,10223.612000000001
16,0.0061779022216796875,7122.5153,5467.571999999999,9970.55
17,0.007738351821899414,6466.495330000001,5467.571999999999,10391.715000000002
18,0.011229276657104492,6524.815250000001,5293.96,9822.603
19,0.011740446090698242,6434.61919,4980.275000000001,9687.633999999998
20,0.01506495475769043,7252.9280499999995,4980.275000000001,10416.939999999997
21,0.006651878356933594,6502.23584,4980.275000000001,10121.027000000002
22,0.009156465530395508,6091.4745,4980.275000000001,10280.267000000002
23,0.011768341064453125,6183.99564,4980.275000000001,10279.031
24,0.020173072814941406,6142.727580000001,4980.275000000001,10629.611999999996
25,0.01708197593688965,6299.35461,4974.191,10566.528
26,0.012103557586669922,5931.10884,4974.191,10727.308
27,0.02743363380432129,6666.76041,4973.327,10559.002000000004
28,0.018650293350219727,6269.73857,4973.327,9199.868999999999
29,0.010835409164428711,6200.46623,4973.327,9458.535000000002
30,0.012179374694824219,6050.33987,4898.420999999999,10196.492999999999
31,0.023417234420776367,5894.27498,4898.420999999999,10237.955999999998
32,0.018088579177856445,5729.20184,4809.169999999998,10191.193000000003
33,0.014358758926391602,6143.165400000001,4809.169999999998,10248.569
34,0.021466732025146484,5813.06457,4809.169999999998,10647.879
35,0.0382237434387207,5604.09404,4809.169999999998,9926.393
36,0.026655912399291992,5835.14339,4809.169999999998,10360.171
37,0.013576984405517578,6104.08522,4809.169999999998,9878.095
38,0.0195467472076416,6562.118079999999,4446.734,10437.740999999998
39,0.008519411087036133,6195.595420000001,4446.734,10703.142000000002
40,0.005391836166381836,5683.13801,4359.459,10380.044
41,0.008631229400634766,5319.95058,4325.462,10397.626999999999
42,0.011438846588134766,5523.0049,4157.38,10526.458999999999
43,0.034746646881103516,6467.44351,4157.38,10024.812999999998
44,0.013377904891967773,6288.70237,4157.38,10420.962000000001
45,0.009907007217407227,6073.70247,4157.38,10958.292
46,0.013376712799072266,5727.01314,4157.38,9790.353000000001
47,0.013135910034179688,5708.2193800000005,4157.38,9786.717
48,0.02700042724609375,5516.11729,4157.38,11055.936000000002
49,0.020011186599731445,5819.95042,4090.288,9706.922999999999
50,0.013216018676757812,5738.46093,4076.937,10091.536
51,0.016076087951660156,5148.9663,4068.3459999999995,9887.203
52,0.040546417236328125,5482.712710000001,4068.3459999999995,10545.839999999998
53,0.01487874984741211,5066.06108,4068.3459999999995,10236.554999999998
54,0.03918814659118652,5708.94142,4068.3459999999995,11061.859999999999
55,0.015624284744262695,5383.35054,4039.5410000000006,10423.885
56,0.02121901512145996,5338.3839800000005,3992.913,10157.617000000002
57,0.013872623443603516,5299.90806,3984.3219999999997,10625.432000000004
58,0.02234673500061035,5389.89934,3972.086,10179.637000000004
59,0.020969390869140625,5543.78482,3972.086,10551.928000000002
60,0.014187812805175781,5545.59193,3972.086,10962.461000000005
61,0.01820826530456543,5183.65524,3972.086,9654.932
62,0.016119718551635742,5385.22003,3972.086,9815.090000000002
63,0.016527891159057617,5224.49925,3972.086,10106.199
64,0.02106761932373047,6315.49458,3972.086,10431.042000000001
65,0.007190227508544922,5524.4318,3920.163,10267.582
66,0.012048959732055664,5628.8896700000005,3920.163,9222.996000000001
67,0.010372638702392578,4644.75598,3899.822,10269.595
68,0.01439809799194336,5642.65875,3899.822,9724.809
69,0.00969552993774414,4618.02032,3898.477,10286.238000000001
70,0.025719165802001953,5620.47105,3898.477,11114.826999999997
71,0.01857137680053711,4621.29423,3898.477,10508.634999999998
